Record Length,2000,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
,,,-0.00000328400,5.80000,
,,,-0.00000328000,6.00000,
,,,-0.00000327600,6.00000,
,,,-0.00000327200,6.00000,
,,,-0.00000326800,5.80000,
,,,-0.00000326400,5.80000,
,,,-0.00000326000,6.00000,
,,,-0.00000325600,6.00000,
,,,-0.00000325200,6.00000,
,,,-0.00000324800,5.80000,
,,,-0.00000324400,5.80000,
,,,-0.00000324000,6.00000,
,,,-0.00000323600,6.00000,
,,,-0.00000323200,5.80000,
,,,-0.00000322800,5.80000,
,,,-0.00000322400,5.80000,
,,,-0.00000322000,6.00000,
,,,-0.00000321600,6.00000,
,,,-0.00000321200,5.80000,
,,,-0.00000320800,5.80000,
,,,-0.00000320400,5.80000,
,,,-0.00000320000,6.00000,
,,,-0.00000319600,6.00000,
,,,-0.00000319200,5.80000,
,,,-0.00000318800,5.80000,
,,,-0.00000318400,5.80000,
,,,-0.00000318000,5.80000,
,,,-0.00000317600,5.80000,
,,,-0.00000317200,5.80000,
,,,-0.00000316800,5.80000,
,,,-0.00000316400,5.80000,
,,,-0.00000316000,6.00000,
,,,-0.00000315600,6.00000,
,,,-0.00000315200,5.80000,
,,,-0.00000314800,5.80000,
,,,-0.00000314400,5.80000,
,,,-0.00000314000,5.80000,
,,,-0.00000313600,5.80000,
,,,-0.00000313200,5.80000,
,,,-0.00000312800,5.80000,
,,,-0.00000312400,5.80000,
,,,-0.00000312000,6.00000,
,,,-0.00000311600,6.00000,
,,,-0.00000311200,6.00000,
,,,-0.00000310800,5.80000,
,,,-0.00000310400,6.00000,
,,,-0.00000310000,6.00000,
,,,-0.00000309600,6.00000,
,,,-0.00000309200,6.00000,
,,,-0.00000308800,5.80000,
,,,-0.00000308400,5.80000,
,,,-0.00000308000,6.00000,
,,,-0.00000307600,6.00000,
,,,-0.00000307200,6.00000,
,,,-0.00000306800,6.00000,
,,,-0.00000306400,5.80000,
,,,-0.00000306000,5.80000,
,,,-0.00000305600,5.80000,
,,,-0.00000305200,5.80000,
,,,-0.00000304800,5.80000,
,,,-0.00000304400,6.00000,
,,,-0.00000304000,6.00000,
,,,-0.00000303600,6.00000,
,,,-0.00000303200,5.80000,
,,,-0.00000302800,5.80000,
,,,-0.00000302400,5.80000,
,,,-0.00000302000,6.00000,
,,,-0.00000301600,6.00000,
,,,-0.00000301200,6.00000,
,,,-0.00000300800,5.80000,
,,,-0.00000300400,5.80000,
,,,-0.00000300000,6.00000,
,,,-0.00000299600,6.00000,
,,,-0.00000299200,5.80000,
,,,-0.00000298800,5.80000,
,,,-0.00000298400,5.80000,
,,,-0.00000298000,6.00000,
,,,-0.00000297600,6.00000,
,,,-0.00000297200,5.80000,
,,,-0.00000296800,5.80000,
,,,-0.00000296400,6.00000,
,,,-0.00000296000,6.00000,
,,,-0.00000295600,6.00000,
,,,-0.00000295200,5.80000,
,,,-0.00000294800,5.80000,
,,,-0.00000294400,6.00000,
,,,-0.00000294000,6.00000,
,,,-0.00000293600,6.00000,
,,,-0.00000293200,5.80000,
,,,-0.00000292800,5.80000,
,,,-0.00000292400,5.80000,
,,,-0.00000292000,6.00000,
,,,-0.00000291600,6.00000,
,,,-0.00000291200,5.80000,
,,,-0.00000290800,5.80000,
,,,-0.00000290400,5.80000,
,,,-0.00000290000,6.00000,
,,,-0.00000289600,6.00000,
,,,-0.00000289200,6.00000,
,,,-0.00000288800,5.80000,
,,,-0.00000288400,5.80000,
,,,-0.00000288000,5.80000,
,,,-0.00000287600,6.00000,
,,,-0.00000287200,6.00000,
,,,-0.00000286800,5.80000,
,,,-0.00000286400,5.80000,
,,,-0.00000286000,6.00000,
,,,-0.00000285600,6.00000,
,,,-0.00000285200,5.80000,
,,,-0.00000284800,5.80000,
,,,-0.00000284400,5.80000,
,,,-0.00000284000,6.00000,
