Record Length,8000,,Source,CH1
Sample Interval,CH1:0.0000020000000,,Second,Volt
Vertical Units,CH1:V,,-0.00800000038,2.84000,
Vertical Scale,CH1:1.00,,-0.00799799990,2.84000,
Vertical Offset,CH1:0.00,,-0.00799600035,2.84000,
Horizontal Units,s,,-0.00799399987,2.84000,
Horizontal Scale,0.0010000000,,-0.00799200032,2.84000,
Model Number,SDS1072CML+,,-0.00798999984,2.84000,
Serial Number,SDS1MCB4166837,,-0.00798800029,2.84000,
Software Version,6.01.01.18,,-0.00798599981,2.84000,
,,,-0.00798400026,2.84000,
,,,-0.00798199978,2.80000,
,,,-0.00798000023,2.84000,
,,,-0.00797799975,2.84000,
,,,-0.00797600020,2.84000,
,,,-0.00797399972,2.84000,
,,,-0.00797200017,2.84000,
,,,-0.00796999969,2.84000,
,,,-0.00796800014,2.84000,
,,,-0.00796599966,2.84000,
,,,-0.00796400011,2.84000,
,,,-0.00796199962,2.84000,
,,,-0.00796000008,2.84000,
,,,-0.00795799959,2.84000,
,,,-0.00795600004,2.84000,
,,,-0.00795399956,2.84000,
,,,-0.00795200001,2.84000,
,,,-0.00794999953,2.84000,
,,,-0.00794799998,2.84000,
,,,-0.00794600043,2.84000,
,,,-0.00794399995,2.84000,
,,,-0.00794200040,2.84000,
,,,-0.00793999992,2.84000,
,,,-0.00793800037,2.84000,
,,,-0.00793599989,2.84000,
,,,-0.00793400034,2.84000,
,,,-0.00793199986,2.84000,
,,,-0.00793000031,2.84000,
,,,-0.00792799983,2.84000,
,,,-0.00792600028,2.84000,
,,,-0.00792399980,2.84000,
,,,-0.00792200025,2.84000,
,,,-0.00791999977,2.84000,
,,,-0.00791800022,2.84000,
,,,-0.00791599974,2.84000,
,,,-0.00791400019,2.84000,
,,,-0.00791199971,2.84000,
,,,-0.00791000016,2.84000,
,,,-0.00790799968,2.84000,
,,,-0.00790600013,2.84000,
,,,-0.00790399965,2.84000,
,,,-0.00790200010,2.84000,
,,,-0.00789999962,2.84000,
,,,-0.00789800007,2.84000,
,,,-0.00789599959,2.84000,
,,,-0.00789400004,2.84000,
,,,-0.00789199956,2.84000,
,,,-0.00789000001,2.84000,
,,,-0.00788799953,2.84000,
,,,-0.00788599998,2.84000,
,,,-0.00788400043,2.84000,
,,,-0.00788199995,2.84000,
,,,-0.00788000040,2.84000,
,,,-0.00787799992,2.68000,
,,,-0.00787600037,2.68000,
,,,-0.00787399989,2.68000,
,,,-0.00787200034,2.68000,
,,,-0.00786999986,2.68000,
,,,-0.00786800031,2.68000,
,,,-0.00786599983,2.68000,
,,,-0.00786400028,2.68000,
,,,-0.00786199979,2.68000,
,,,-0.00786000025,2.68000,
,,,-0.00785799976,2.68000,
,,,-0.00785600021,2.68000,
,,,-0.00785399973,2.68000,
,,,-0.00785200018,2.68000,
,,,-0.00784999970,2.68000,
,,,-0.00784800015,2.68000,
,,,-0.00784599967,2.68000,
,,,-0.00784400012,2.68000,
,,,-0.00784199964,2.68000,
,,,-0.00784000009,2.68000,
,,,-0.00783799961,2.68000,
,,,-0.00783600006,2.68000,
,,,-0.00783399958,2.68000,
,,,-0.00783200003,2.68000,
,,,-0.00782999955,2.68000,
