Record Length,8000,,Source,CH1
Sample Interval,CH1:0.0000199999995,,Second,Volt
Vertical Units,CH1:V,,-0.07999999821,2.44000,
Vertical Scale,CH1:1.00,,-0.07998000085,2.40000,
Vertical Offset,CH1:0.00,,-0.07995999604,2.40000,
Horizontal Units,s,,-0.07993999869,2.40000,
Horizontal Scale,0.0099999998,,-0.07992000133,2.40000,
Model Number,SDS1072CML+,,-0.07989999652,2.40000,
Serial Number,SDS1MCB4166837,,-0.07987999916,2.40000,
Software Version,6.01.01.18,,-0.07985999435,2.44000,
,,,-0.07983999699,2.36000,
,,,-0.07981999964,2.36000,
,,,-0.07979999483,2.36000,
,,,-0.07977999747,2.40000,
,,,-0.07976000011,2.36000,
,,,-0.07973999530,2.36000,
,,,-0.07971999794,2.36000,
,,,-0.07970000058,2.36000,
,,,-0.07967999578,2.36000,
,,,-0.07965999842,2.40000,
,,,-0.07964000106,2.40000,
,,,-0.07961999625,2.36000,
,,,-0.07959999889,2.36000,
,,,-0.07958000153,2.36000,
,,,-0.07955999672,2.36000,
,,,-0.07953999937,2.36000,
,,,-0.07951999456,2.36000,
,,,-0.07949999720,2.36000,
,,,-0.07947999984,2.36000,
,,,-0.07945999503,2.36000,
,,,-0.07943999767,2.36000,
,,,-0.07942000031,2.36000,
,,,-0.07939999551,2.36000,
,,,-0.07937999815,2.36000,
,,,-0.07936000079,2.36000,
,,,-0.07933999598,2.32000,
,,,-0.07931999862,2.36000,
,,,-0.07930000126,2.32000,
,,,-0.07927999645,2.32000,
,,,-0.07925999910,2.36000,
,,,-0.07923999429,2.32000,
,,,-0.07921999693,2.36000,
,,,-0.07919999957,2.36000,
,,,-0.07917999476,2.32000,
,,,-0.07915999740,2.32000,
,,,-0.07914000005,2.32000,
,,,-0.07911999524,2.32000,
,,,-0.07909999788,2.32000,
,,,-0.07908000052,2.28000,
,,,-0.07905999571,2.32000,
,,,-0.07903999835,2.36000,
,,,-0.07902000099,2.32000,
,,,-0.07899999619,2.32000,
,,,-0.07897999883,2.28000,
,,,-0.07896000147,2.28000,
,,,-0.07893999666,2.28000,
,,,-0.07891999930,2.28000,
,,,-0.07889999449,2.32000,
,,,-0.07887999713,2.28000,
,,,-0.07885999978,2.24000,
,,,-0.07883999497,2.24000,
,,,-0.07881999761,2.28000,
,,,-0.07880000025,2.28000,
,,,-0.07877999544,2.28000,
,,,-0.07875999808,2.28000,
,,,-0.07874000072,2.28000,
,,,-0.07871999592,2.28000,
,,,-0.07869999856,2.28000,
,,,-0.07868000120,2.28000,
,,,-0.07865999639,2.24000,
,,,-0.07863999903,2.24000,
,,,-0.07862000167,2.28000,
,,,-0.07859999686,2.24000,
,,,-0.07857999951,2.24000,
,,,-0.07855999470,2.20000,
,,,-0.07853999734,2.24000,
,,,-0.07851999998,2.24000,
,,,-0.07849999517,2.24000,
,,,-0.07847999781,2.20000,
,,,-0.07846000046,2.20000,
,,,-0.07843999565,2.20000,
,,,-0.07841999829,2.20000,
,,,-0.07840000093,2.20000,
,,,-0.07837999612,2.20000,
,,,-0.07835999876,2.20000,
,,,-0.07834000140,2.20000,
,,,-0.07831999660,2.20000,
,,,-0.07829999924,2.20000,
,,,-0.07827999443,2.20000,
,,,-0.07825999707,2.20000,
,,,-0.07823999971,2.20000,
,,,-0.07821999490,2.20000,
,,,-0.07819999754,2.20000,
,,,-0.07818000019,2.20000,
,,,-0.07815999538,2.20000,
,,,-0.07813999802,2.20000,
,,,-0.07812000066,2.20000,
,,,-0.07809999585,2.20000,
,,,-0.07807999849,2.20000,
,,,-0.07806000113,2.20000,
,,,-0.07803999633,2.20000,
,,,-0.07801999897,2.20000,
,,,-0.07800000161,2.20000,
,,,-0.07797999680,2.16000,
,,,-0.07795999944,2.16000,
,,,-0.07793999463,2.12000,
,,,-0.07791999727,2.16000,
,,,-0.07789999992,2.20000,
,,,-0.07787999511,2.16000,
,,,-0.07785999775,2.16000,
,,,-0.07784000039,2.16000,
,,,-0.07781999558,2.16000,
,,,-0.07779999822,2.20000,
,,,-0.07778000087,2.12000,
,,,-0.07775999606,2.16000,
,,,-0.07773999870,2.12000,
,,,-0.07772000134,2.12000,
,,,-0.07769999653,2.12000,
,,,-0.07767999917,2.16000,
,,,-0.07765999436,2.16000,
,,,-0.07763999701,2.12000,
,,,-0.07761999965,2.12000,
,,,-0.07759999484,2.12000,
,,,-0.07757999748,2.12000,
,,,-0.07756000012,2.12000,
,,,-0.07753999531,2.12000,
,,,-0.07751999795,2.12000,
,,,-0.07750000060,2.12000,
,,,-0.07747999579,2.12000,
,,,-0.07745999843,2.12000,
,,,-0.07744000107,2.08000,
,,,-0.07741999626,2.12000,
,,,-0.07739999890,2.12000,
,,,-0.07738000154,2.12000,
,,,-0.07735999674,2.08000,
,,,-0.07733999938,2.08000,
,,,-0.07731999457,2.12000,
,,,-0.07729999721,2.08000,
,,,-0.07727999985,2.08000,
,,,-0.07725999504,2.12000,
,,,-0.07723999768,2.04000,
,,,-0.07722000033,2.04000,
,,,-0.07719999552,2.08000,
,,,-0.07717999816,2.08000,
,,,-0.07716000080,2.08000,
,,,-0.07713999599,2.08000,
,,,-0.07711999863,2.08000,
,,,-0.07710000128,2.04000,
,,,-0.07707999647,2.04000,
,,,-0.07705999911,2.04000,
,,,-0.07704000175,2.08000,
,,,-0.07701999694,2.08000,
,,,-0.07699999958,2.04000,
,,,-0.07697999477,2.04000,
,,,-0.07695999742,2.04000,
,,,-0.07694000006,2.04000,
,,,-0.07691999525,2.04000,
,,,-0.07689999789,2.04000,
,,,-0.07688000053,2.04000,
,,,-0.07685999572,2.04000,
,,,-0.07683999836,2.04000,
,,,-0.07682000101,2.04000,
,,,-0.07679999620,2.04000,
,,,-0.07677999884,2.04000,
,,,-0.07676000148,2.04000,
,,,-0.07673999667,2.00000,
,,,-0.07671999931,2.00000,
,,,-0.07669999450,2.04000,
,,,-0.07667999715,2.04000,
,,,-0.07665999979,2.04000,
,,,-0.07663999498,2.04000,
,,,-0.07661999762,2.04000,
,,,-0.07660000026,2.00000,
,,,-0.07657999545,2.00000,
,,,-0.07655999810,2.00000,
,,,-0.07654000074,2.00000,
,,,-0.07651999593,2.00000,
,,,-0.07649999857,2.00000,
,,,-0.07648000121,1.96000,
,,,-0.07645999640,1.96000,
,,,-0.07643999904,1.96000,
,,,-0.07642000169,2.00000,
,,,-0.07639999688,2.00000,
,,,-0.07637999952,2.00000,
,,,-0.07635999471,1.96000,
,,,-0.07633999735,1.96000,
,,,-0.07631999999,1.92000,
,,,-0.07629999518,1.96000,
,,,-0.07627999783,1.96000,
,,,-0.07626000047,1.92000,
,,,-0.07623999566,1.96000,
,,,-0.07621999830,1.88000,
,,,-0.07620000094,1.96000,
,,,-0.07617999613,1.96000,
,,,-0.07615999877,1.96000,
,,,-0.07614000142,1.96000,
,,,-0.07611999661,1.96000,
,,,-0.07609999925,1.96000,
,,,-0.07607999444,1.96000,
,,,-0.07605999708,1.92000,
,,,-0.07603999972,1.92000,
,,,-0.07601999491,1.96000,
,,,-0.07599999756,1.96000,
,,,-0.07598000020,1.96000,
,,,-0.07595999539,1.92000,
,,,-0.07593999803,1.96000,
,,,-0.07592000067,1.88000,
,,,-0.07589999586,1.96000,
,,,-0.07587999851,1.92000,
,,,-0.07586000115,1.92000,
,,,-0.07583999634,1.92000,
,,,-0.07581999898,1.92000,
,,,-0.07580000162,1.92000,
,,,-0.07577999681,1.88000,
,,,-0.07575999945,1.88000,
,,,-0.07573999465,1.88000,
,,,-0.07571999729,1.88000,
,,,-0.07569999993,1.88000,
,,,-0.07567999512,1.88000,
,,,-0.07565999776,1.88000,
,,,-0.07564000040,1.88000,
,,,-0.07561999559,1.88000,
,,,-0.07559999824,1.88000,
,,,-0.07558000088,1.88000,
,,,-0.07555999607,1.88000,
,,,-0.07553999871,1.88000,
,,,-0.07552000135,1.88000,
,,,-0.07549999654,1.88000,
,,,-0.07547999918,1.88000,
,,,-0.07545999438,1.88000,
,,,-0.07543999702,1.84000,
,,,-0.07541999966,1.84000,
,,,-0.07539999485,1.80000,
,,,-0.07537999749,1.84000,
,,,-0.07536000013,1.80000,
,,,-0.07533999532,1.84000,
,,,-0.07531999797,1.84000,
,,,-0.07530000061,1.84000,
,,,-0.07527999580,1.84000,
,,,-0.07525999844,1.84000,
,,,-0.07524000108,1.80000,
,,,-0.07521999627,1.84000,
,,,-0.07519999892,1.80000,
,,,-0.07518000156,1.84000,
,,,-0.07515999675,1.84000,
,,,-0.07513999939,1.84000,
,,,-0.07511999458,1.84000,
,,,-0.07509999722,1.80000,
,,,-0.07507999986,1.84000,
,,,-0.07505999506,1.80000,
,,,-0.07503999770,1.80000,
,,,-0.07502000034,1.80000,
,,,-0.07499999553,1.80000,
,,,-0.07497999817,1.80000,
,,,-0.07496000081,1.80000,
,,,-0.07493999600,1.80000,
,,,-0.07491999865,1.80000,
,,,-0.07490000129,1.80000,
,,,-0.07487999648,1.80000,
,,,-0.07485999912,1.76000,
,,,-0.07484000176,1.80000,
,,,-0.07481999695,1.76000,
,,,-0.07479999959,1.80000,
,,,-0.07477999479,1.80000,
,,,-0.07475999743,1.80000,
,,,-0.07474000007,1.80000,
,,,-0.07471999526,1.76000,
,,,-0.07469999790,1.76000,
,,,-0.07468000054,1.76000,
,,,-0.07465999573,1.76000,
,,,-0.07463999838,1.76000,
,,,-0.07462000102,1.80000,
,,,-0.07459999621,1.76000,
,,,-0.07457999885,1.76000,
,,,-0.07456000149,1.76000,
,,,-0.07453999668,1.76000,
,,,-0.07451999933,1.76000,
,,,-0.07449999452,1.76000,
,,,-0.07447999716,1.72000,
,,,-0.07445999980,1.72000,
,,,-0.07443999499,1.76000,
,,,-0.07441999763,1.72000,
,,,-0.07440000027,1.76000,
,,,-0.07437999547,1.72000,
,,,-0.07435999811,1.72000,
,,,-0.07434000075,1.72000,
,,,-0.07431999594,1.72000,
,,,-0.07429999858,1.72000,
,,,-0.07428000122,1.72000,
,,,-0.07425999641,1.72000,
,,,-0.07423999906,1.72000,
,,,-0.07422000170,1.68000,
,,,-0.07419999689,1.68000,
,,,-0.07417999953,1.72000,
,,,-0.07415999472,1.72000,
,,,-0.07413999736,1.72000,
,,,-0.07412000000,1.68000,
,,,-0.07409999520,1.72000,
,,,-0.07407999784,1.68000,
,,,-0.07406000048,1.72000,
,,,-0.07403999567,1.72000,
,,,-0.07401999831,1.72000,
,,,-0.07400000095,1.72000,
,,,-0.07397999614,1.68000,
,,,-0.07395999879,1.72000,
,,,-0.07394000143,1.68000,
,,,-0.07391999662,1.68000,
,,,-0.07389999926,1.72000,
,,,-0.07387999445,1.72000,
,,,-0.07385999709,1.68000,
,,,-0.07383999974,1.72000,
,,,-0.07381999493,1.64000,
,,,-0.07379999757,1.68000,
,,,-0.07378000021,1.64000,
,,,-0.07375999540,1.64000,
,,,-0.07373999804,1.64000,
,,,-0.07372000068,1.64000,
,,,-0.07369999588,1.64000,
,,,-0.07367999852,1.64000,
,,,-0.07366000116,1.64000,
,,,-0.07363999635,1.64000,
,,,-0.07361999899,1.64000,
,,,-0.07360000163,1.64000,
,,,-0.07357999682,1.64000,
,,,-0.07355999947,1.64000,
,,,-0.07353999466,1.64000,
,,,-0.07351999730,1.60000,
,,,-0.07349999994,1.64000,
,,,-0.07347999513,1.64000,
,,,-0.07345999777,1.64000,
,,,-0.07344000041,1.64000,
,,,-0.07341999561,1.64000,
,,,-0.07339999825,1.56000,
,,,-0.07338000089,1.64000,
,,,-0.07335999608,1.60000,
,,,-0.07333999872,1.60000,
,,,-0.07332000136,1.60000,
,,,-0.07329999655,1.60000,
,,,-0.07327999920,1.60000,
,,,-0.07326000184,1.60000,
,,,-0.07323999703,1.56000,
,,,-0.07321999967,1.56000,
,,,-0.07319999486,1.56000,
,,,-0.07317999750,1.56000,
,,,-0.07316000015,1.60000,
,,,-0.07313999534,1.60000,
,,,-0.07311999798,1.56000,
,,,-0.07310000062,1.56000,
,,,-0.07307999581,1.56000,
,,,-0.07305999845,1.56000,
,,,-0.07304000109,1.56000,
,,,-0.07301999629,1.56000,
,,,-0.07299999893,1.56000,
,,,-0.07298000157,1.56000,
,,,-0.07295999676,1.56000,
,,,-0.07293999940,1.56000,
,,,-0.07291999459,1.56000,
,,,-0.07289999723,1.56000,
,,,-0.07287999988,1.56000,
,,,-0.07285999507,1.52000,
,,,-0.07283999771,1.56000,
,,,-0.07282000035,1.52000,
,,,-0.07279999554,1.56000,
,,,-0.07277999818,1.56000,
,,,-0.07276000082,1.56000,
,,,-0.07273999602,1.56000,
,,,-0.07271999866,1.52000,
,,,-0.07270000130,1.56000,
,,,-0.07267999649,1.56000,
,,,-0.07265999913,1.56000,
,,,-0.07264000177,1.52000,
,,,-0.07261999696,1.52000,
,,,-0.07259999961,1.52000,
,,,-0.07257999480,1.52000,
,,,-0.07255999744,1.52000,
,,,-0.07254000008,1.52000,
,,,-0.07251999527,1.56000,
,,,-0.07249999791,1.48000,
,,,-0.07248000056,1.48000,
,,,-0.07245999575,1.48000,
,,,-0.07243999839,1.48000,
,,,-0.07242000103,1.48000,
,,,-0.07239999622,1.48000,
,,,-0.07237999886,1.52000,
,,,-0.07236000150,1.48000,
,,,-0.07233999670,1.48000,
,,,-0.07231999934,1.52000,
,,,-0.07229999453,1.48000,
,,,-0.07227999717,1.48000,
,,,-0.07225999981,1.48000,
,,,-0.07223999500,1.48000,
,,,-0.07221999764,1.44000,
,,,-0.07220000029,1.48000,
,,,-0.07217999548,1.48000,
,,,-0.07215999812,1.48000,
,,,-0.07214000076,1.48000,
,,,-0.07211999595,1.48000,
,,,-0.07209999859,1.44000,
,,,-0.07208000124,1.44000,
,,,-0.07205999643,1.44000,
,,,-0.07203999907,1.48000,
,,,-0.07202000171,1.44000,
,,,-0.07199999690,1.48000,
,,,-0.07197999954,1.44000,
,,,-0.07195999473,1.44000,
,,,-0.07193999738,1.44000,
,,,-0.07192000002,1.48000,
,,,-0.07189999521,1.48000,
,,,-0.07187999785,1.48000,
,,,-0.07186000049,1.40000,
,,,-0.07183999568,1.44000,
,,,-0.07181999832,1.40000,
,,,-0.07180000097,1.40000,
,,,-0.07177999616,1.44000,
,,,-0.07175999880,1.40000,
,,,-0.07174000144,1.40000,
,,,-0.07171999663,1.40000,
,,,-0.07169999927,1.40000,
,,,-0.07167999446,1.40000,
,,,-0.07165999711,1.40000,
,,,-0.07163999975,1.40000,
,,,-0.07161999494,1.40000,
,,,-0.07159999758,1.40000,
,,,-0.07158000022,1.40000,
,,,-0.07155999541,1.40000,
,,,-0.07153999805,1.36000,
,,,-0.07152000070,1.40000,
,,,-0.07149999589,1.40000,
,,,-0.07147999853,1.40000,
,,,-0.07146000117,1.40000,
,,,-0.07143999636,1.40000,
,,,-0.07141999900,1.40000,
,,,-0.07140000165,1.40000,
,,,-0.07137999684,1.36000,
,,,-0.07135999948,1.32000,
,,,-0.07133999467,1.40000,
,,,-0.07131999731,1.36000,
,,,-0.07129999995,1.40000,
,,,-0.07127999514,1.40000,
,,,-0.07125999779,1.36000,
,,,-0.07124000043,1.40000,
,,,-0.07121999562,1.32000,
,,,-0.07119999826,1.36000,
,,,-0.07118000090,1.36000,
,,,-0.07115999609,1.32000,
,,,-0.07113999873,1.36000,
,,,-0.07112000138,1.32000,
,,,-0.07109999657,1.32000,
,,,-0.07107999921,1.32000,
,,,-0.07106000185,1.36000,
,,,-0.07103999704,1.36000,
,,,-0.07101999968,1.32000,
,,,-0.07099999487,1.32000,
,,,-0.07097999752,1.32000,
,,,-0.07096000016,1.32000,
,,,-0.07093999535,1.36000,
,,,-0.07091999799,1.32000,
,,,-0.07090000063,1.32000,
,,,-0.07087999582,1.32000,
,,,-0.07085999846,1.28000,
,,,-0.07084000111,1.32000,
,,,-0.07081999630,1.28000,
,,,-0.07079999894,1.32000,
,,,-0.07078000158,1.28000,
,,,-0.07075999677,1.28000,
,,,-0.07073999941,1.32000,
,,,-0.07071999460,1.28000,
,,,-0.07069999725,1.28000,
,,,-0.07067999989,1.28000,
,,,-0.07065999508,1.32000,
,,,-0.07063999772,1.32000,
,,,-0.07062000036,1.28000,
,,,-0.07059999555,1.28000,
,,,-0.07057999820,1.24000,
,,,-0.07056000084,1.28000,
,,,-0.07053999603,1.28000,
,,,-0.07051999867,1.28000,
,,,-0.07050000131,1.28000,
,,,-0.07047999650,1.24000,
,,,-0.07045999914,1.28000,
,,,-0.07044000179,1.28000,
,,,-0.07041999698,1.24000,
,,,-0.07039999962,1.24000,
,,,-0.07037999481,1.24000,
,,,-0.07035999745,1.24000,
,,,-0.07034000009,1.24000,
,,,-0.07031999528,1.24000,
,,,-0.07029999793,1.28000,
,,,-0.07028000057,1.24000,
,,,-0.07025999576,1.24000,
,,,-0.07023999840,1.24000,
,,,-0.07022000104,1.24000,
,,,-0.07019999623,1.24000,
,,,-0.07017999887,1.24000,
,,,-0.07016000152,1.20000,
,,,-0.07013999671,1.24000,
,,,-0.07011999935,1.24000,
,,,-0.07009999454,1.24000,
,,,-0.07007999718,1.24000,
,,,-0.07005999982,1.24000,
,,,-0.07003999501,1.20000,
,,,-0.07001999766,1.20000,
,,,-0.07000000030,1.24000,
,,,-0.06997999549,1.16000,
,,,-0.06995999813,1.20000,
,,,-0.06994000077,1.20000,
,,,-0.06991999596,1.24000,
,,,-0.06989999861,1.20000,
,,,-0.06988000125,1.20000,
,,,-0.06985999644,1.16000,
,,,-0.06983999908,1.20000,
,,,-0.06982000172,1.20000,
,,,-0.06979999691,1.16000,
,,,-0.06977999955,1.16000,
,,,-0.06975999475,1.20000,
,,,-0.06973999739,1.20000,
,,,-0.06972000003,1.16000,
,,,-0.06969999522,1.16000,
,,,-0.06967999786,1.16000,
,,,-0.06966000050,1.16000,
,,,-0.06963999569,1.16000,
,,,-0.06961999834,1.16000,
,,,-0.06960000098,1.16000,
,,,-0.06957999617,1.16000,
,,,-0.06955999881,1.16000,
,,,-0.06954000145,1.16000,
,,,-0.06951999664,1.16000,
,,,-0.06949999928,1.16000,
,,,-0.06948000193,1.16000,
,,,-0.06945999712,1.16000,
,,,-0.06943999976,1.16000,
,,,-0.06941999495,1.12000,
,,,-0.06939999759,1.16000,
,,,-0.06938000023,1.12000,
,,,-0.06935999542,1.16000,
,,,-0.06933999807,1.12000,
,,,-0.06932000071,1.12000,
,,,-0.06929999590,1.12000,
,,,-0.06927999854,1.12000,
,,,-0.06926000118,1.12000,
,,,-0.06923999637,1.12000,
,,,-0.06921999902,1.12000,
,,,-0.06920000166,1.08000,
,,,-0.06917999685,1.12000,
,,,-0.06915999949,1.12000,
,,,-0.06913999468,1.12000,
,,,-0.06911999732,1.12000,
,,,-0.06909999996,1.08000,
,,,-0.06907999516,1.08000,
,,,-0.06905999780,1.08000,
,,,-0.06904000044,1.08000,
,,,-0.06901999563,1.08000,
,,,-0.06899999827,1.08000,
,,,-0.06898000091,1.08000,
,,,-0.06895999610,1.08000,
,,,-0.06893999875,1.08000,
,,,-0.06892000139,1.08000,
,,,-0.06889999658,1.08000,
,,,-0.06887999922,1.08000,
,,,-0.06886000186,1.08000,
,,,-0.06883999705,1.08000,
,,,-0.06881999969,1.08000,
,,,-0.06879999489,1.08000,
,,,-0.06877999753,1.08000,
,,,-0.06876000017,1.08000,
,,,-0.06873999536,1.08000,
,,,-0.06871999800,1.00000,
,,,-0.06870000064,1.08000,
,,,-0.06867999583,1.00000,
,,,-0.06865999848,1.00000,
,,,-0.06864000112,1.00000,
,,,-0.06861999631,1.00000,
,,,-0.06859999895,1.00000,
,,,-0.06858000159,1.08000,
,,,-0.06855999678,1.00000,
,,,-0.06853999943,1.00000,
,,,-0.06851999462,1.08000,
,,,-0.06849999726,1.08000,
,,,-0.06847999990,1.00000,
,,,-0.06845999509,1.00000,
,,,-0.06843999773,1.00000,
,,,-0.06842000037,1.00000,
,,,-0.06839999557,0.96000,
,,,-0.06837999821,1.00000,
,,,-0.06836000085,0.96000,
,,,-0.06833999604,0.96000,
,,,-0.06831999868,0.96000,
,,,-0.06830000132,1.00000,
,,,-0.06827999651,0.92000,
,,,-0.06825999916,0.96000,
,,,-0.06824000180,0.96000,
,,,-0.06821999699,0.92000,
,,,-0.06819999963,0.96000,
,,,-0.06817999482,0.96000,
,,,-0.06815999746,0.96000,
,,,-0.06814000010,0.96000,
,,,-0.06811999530,0.96000,
,,,-0.06809999794,0.96000,
,,,-0.06808000058,0.92000,
,,,-0.06805999577,0.92000,
,,,-0.06803999841,0.88000,
,,,-0.06802000105,0.96000,
,,,-0.06799999624,0.92000,
,,,-0.06797999889,0.92000,
,,,-0.06796000153,0.92000,
,,,-0.06793999672,0.88000,
,,,-0.06791999936,0.92000,
,,,-0.06790000200,0.92000,
