1623,44
1356,76
1520,108
1262,140
728,172
798,204
233,236
90,268
0,300
19,332
619,364
458,396
695,428
1274,460
1143,492
1406,524
1967,556
1883,588
2235,620
1918,652
1757,684
1488,716
1289,748
1022,780
799,812
568,844
343,876
137,908
408,940
601,972
462,1004
1052,1036
912,1068
1177,1100
1373,1132
1638,1164
1915,1196
1738,1228
1547,1260
1323,1292
1094,1324
861,1356
568,1388
411,1420
607,1452
0,1484
303,1516
491,1548
372,1580
944,1612
1133,1644
1048,1676
1596,1708
1836,1740
2187,1772
2254,1804
2024,1836
1867,1868
1536,1900
968,1932
1120,1964
512,1996
342,2028
400,2060
0,2092
247,2124
484,2156
441,2188
924,2220
806,2252
1119,2284
1260,2316
1546,2348
2192,2380
1882,2412
1691,2444
1789,2476
1227,2508
1001,2540
1051,2572
543,2604
656,2636
8,2668
184,2700
352,2732
618,2764
814,2796
1002,2828
1263,2860
1464,2892
1322,2924
1929,2956
1785,2988
1768,3020
2028,3052
1306,3084
1100,3116
842,3148
649,3180
469,3212
199,3244
21,3276
0,3308
89,3340
733,3372
458,3404
1165,3436
1355,3468
1174,3500
1823,3532
2060,3564
1914,3596
2156,3628
1881,3660
1757,3692
1407,3724
1146,3756
991,3788
685,3820
110,3852
310,3884
0,3916
74,3948
681,3980
523,4012
1133,4044
1337,4076
1257,4108
1792,4140
1662,4172
1980,4204
1646,4236
1478,4268
1645,4300
1006,4332
793,4364
922,4396
332,4428
151,4460
222,4492
0,4524
569,4556
726,4588
1019,4620
1214,4652
1479,4684
1678,4716
1914,4748
2144,4780
2251,4812
1979,4844
1784,4876
1501,4908
905,4940
757,4972
444,5004
261,5036
3,5068
0,5100
28,5132
206,5164
477,5196
1000,5228
936,5260
1163,5292
1320,5324
1627,5356
2311,5388
1797,5420
2027,5452
1752,5484
1148,5516
1275,5548
1004,5580
462,5612
544,5644
320,5676
265,5708
361,5740
592,5772
894,5804
1040,5836
920,5868
1546,5900
1371,5932
2009,5964
2217,5996
1766,6028
1838,6060
1613,6092
1111,6124
1144,6156
570,6188
427,6220
110,6252
0,6284
268,6316
122,6348
382,6380
928,6412
842,6444
1069,6476
1582,6508
1528,6540
2136,6572
2350,6604
2111,6636
1840,6668
1641,6700
1372,6732
1101,6764
909,6796
638,6828
48,6860
0,6892
0,6924
138,6956
348,6988
582,7020
838,7052
1024,7084
1287,7116
1870,7148
1743,7180
1898,7212
2087,7244
1432,7276
1641,7308
906,7340
1149,7372
879,7404
511,7436
425,7468
183,7500
330,7532
606,7564
795,7596
1133,7628
1245,7660
1452,7692
1767,7724
1917,7756
1785,7788
2218,7820
1529,7852
1736,7884
1470,7916
845,7948
1001,7980
748,8012
219,8044
280,8076
0,8108
105,8140
681,8172
522,8204
1133,8236
969,8268
1207,8300
1802,8332
1660,8364
1943,8396
2138,8428
1575,8460
1707,8492
1113,8524
1229,8556
972,8588
766,8620
510,8652
282,8684
234,8716
464,8748
664,8780
553,8812
1117,8844
973,8876
1577,8908
1434,8940
1692,8972
1881,9004
1676,9036
1496,9068
1210,9100
1032,9132
811,9164
583,9196
350,9228
58,9260
0,9292
393,9324
158,9356
827,9388
1007,9420
1192,9452
1467,9484
1660,9516
1565,9548
2125,9580
2235,9612
2119,9644
1724,9676
1487,9708
1343,9740
1024,9772
872,9804
606,9836
8,9868
0,9900
